Item,Produto,Status,Divergências,Detalhes
1,000205,DIVERGENTE,Divergência de valor em Base de Cálculo (Dif: 5534.61); Divergência de valor em Valor ICMS (Dif: 455.25); Divergência de valor em MVA % (Dif: 30.00),Base de Cálculo: XML=0.00 | SEFAZ=5534.61 || Valor ICMS: XML=0.00 | SEFAZ=455.25 || MVA %: XML=0.00 | SEFAZ=30
2,021348,DIVERGENTE,Divergência de valor em Base de Cálculo (Dif: 3557.10); Divergência de valor em Valor ICMS (Dif: 292.59); Divergência de valor em MVA % (Dif: 30.00),Base de Cálculo: XML=0.00 | SEFAZ=3557.10 || Valor ICMS: XML=0.00 | SEFAZ=292.59 || MVA %: XML=0.00 | SEFAZ=30
3,109879,DIVERGENTE,Divergência de valor em Base de Cálculo (Dif: 449.38); Divergência de valor em Valor ICMS (Dif: 36.96); Divergência de valor em MVA % (Dif: 30.00),Base de Cálculo: XML=0.00 | SEFAZ=449.38 || Valor ICMS: XML=0.00 | SEFAZ=36.96 || MVA %: XML=0.00 | SEFAZ=30
4,069918,DIVERGENTE,Divergência de valor em Base de Cálculo (Dif: 415.92); Divergência de valor em Valor ICMS (Dif: 36.29); Divergência de valor em MVA % (Dif: 37.00),Base de Cálculo: XML=0.00 | SEFAZ=415.92 || Valor ICMS: XML=0.00 | SEFAZ=36.29 || MVA %: XML=0.00 | SEFAZ=37
5,069916,DIVERGENTE,Divergência de valor em Base de Cálculo (Dif: 259.25); Divergência de valor em Valor ICMS (Dif: 22.62); Divergência de valor em MVA % (Dif: 37.00),Base de Cálculo: XML=0.00 | SEFAZ=259.25 || Valor ICMS: XML=0.00 | SEFAZ=22.62 || MVA %: XML=0.00 | SEFAZ=37
6,000239,DIVERGENTE,Divergência de valor em Base de Cálculo (Dif: 137.49); Divergência de valor em Valor ICMS (Dif: 11.41); Divergência de valor em MVA % (Dif: 31.00),Base de Cálculo: XML=0.00 | SEFAZ=137.49 || Valor ICMS: XML=0.00 | SEFAZ=11.41 || MVA %: XML=0.00 | SEFAZ=31
